Cidade;Latitude;Longitude
ALTA FLORESTA D'OESTE;-11,93554;-61,999824
ARIQUEMES;-9,908463;-63,033269
CABIXI;-13,499763;-60,544314
CACOAL;-11,433865;-61,442944
CEREJEIRAS;-13,195033;-60,818426
COLORADO DO OESTE;-13,130564;-60,555067
CORUMBIARA;-12,99752;-60,948701
COSTA MARQUES;-12,436014;-64,231654
ESPIGÃO D'OESTE;-11,528555;-61,020173
GUAJARÁ-MIRIM;-10,773884;-65,323952
JARU;-10,435949;-62,476231
JI-PARANÁ;-10,882051;-61,945095
MACHADINHO D'OESTE;-9,425562;-61,999593
NOVA BRASILÂNDIA D'OESTE;-11,721325;-62,30823
OURO PRETO DO OESTE;-10,723574;-62,261055
PIMENTA BUENO;-11,677537;-61,183666
PORTO VELHO;-8,768892;-63,831446
PRESIDENTE MÉDICI;-11,173205;-61,909439
RIO CRESPO;-9,705537;-62,90001
ROLIM DE MOURA;-11,722259;-61,785781
SANTA LUZIA D'OESTE;-11,908423;-61,773305
VILHENA;-12,741373;-60,138584
SÃO MIGUEL DO GUAPORÉ;-11,69949;-62,720063
NOVA MAMORÉ;-10,411771;-65,329149
ALVORADA D'OESTE;-11,34413;-62,277275
ALTO ALEGRE DOS PARECIS;-12,131777;-61,853077
ALTO PARAÍSO;-9,716667;-63,317629
BURITIS;-10,209805;-63,829679
NOVO HORIZONTE DO OESTE;-11,709743;-61,994388
CACAULÂNDIA;-10,338873;-62,90319
CAMPO NOVO DE RONDÔNIA;-10,568416;-63,624991
CANDEIAS DO JAMARI;-8,785021;-63,70002
CASTANHEIRAS;-11,426842;-61,949161
CHUPINGUAIA;-12,556841;-60,901848
CUJUBIM;-9,378193;-62,587175
GOVERNADOR JORGE TEIXEIRA;-10,612072;-62,740458
ITAPUÃ DO OESTE;-9,191872;-63,182337
MINISTRO ANDREAZZA;-11,196238;-61,518922
MIRANTE DA SERRA;-11,045609;-62,669427
MONTE NEGRO;-10,263098;-63,295559
NOVA UNIÃO;-10,915532;-62,555089
PARECIS;-12,179827;-61,597998
PIMENTEIRAS DO OESTE;-13,476562;-61,044379
PRIMAVERA DE RONDÔNIA;-11,825707;-61,316546
SÃO FELIPE D'OESTE;-11,914389;-61,512508
SÃO FRANCISCO DO GUAPORÉ;-12,063798;-63,570865
